firstName,lastName,wiId,averageScore,minutesPlayed,role
Pirmin,Schwegler,15256,3.63,2327,Midfielder
Morgan,Poaty,343116,0,172,Defender
Winston ,Reid,8553,16.37,1454,Defender
Kevin,Danso,366217,13.62,1109,Defender
Mohammed Khalil,Al Owais,248328,0,0,Goalkeeper
Gnégnéri Yaya,Touré,8324,8.75,220,Midfielder
Andrea,Masiello,20841,34.470000000000006,2686,Defender
James,McCarthy,8624,1.45,502,Midfielder
Lorenzo,Crisetig,20526,2.8000000000000003,560,Midfielder
Jonathan,Castro Otto,4424,17.97,3201,Defender
Tomáš,Hubočan,101555,2.2600000000000002,270,Defender
Claudio Miguel,Pizarro Bossio,14707,10.61,556,Forward
Jaroslav,Drobný,14882,0,0,Goalkeeper
Chris,Philipps,138577,3.1400000000000006,852,Midfielder
Zouhair,Feddal,3791,13.440000000000001,1257,Defender
Naïm,Sliti,26100,46.42,2481,Midfielder
Fabián Ariel,Orellana Valenzuela,3843,13.119999999999997,1203,Midfielder
Pylyp,Budkivskyi,138457,0,0,Forward
Siriki,Sanogo,564512,0.33,37,Forward
Adrien ,Tameze,28230,24.89,1640,Midfielder
Simon,Falette,26021,18.27,2326,Defender
